検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
209,1,380.9,1478.0, 4.4,スジ欠点,-,,
210,3,391.6,1478.4,15.0,スジ欠点,-,,
211,3,380.9,1478.7, 4.0,スジ欠点,-,,
212,1,380.9,1479.1, 3.5,スジ欠点,-,,
213,2,391.6,1479.8,11.4,スジ欠点,-,,
214,4,370.2,1480.1,11.0,スジ欠点,-,,
215,1,391.6,1483.6, 4.4,スジ欠点,-,,
216,1,380.9,1494.8, 3.5,スジ欠点,-,,
217,1,380.9,1496.9, 4.8,スジ欠点,-,,
218,1,799.1,1515.6, 4.0,スジ欠点,-,,
219,1,391.6,1547.8, 5.3,スジ欠点,-,,
220,1,799.1,1552.5, 4.0,スジ欠点,-,,
221,2,391.6,1568.1, 7.5,スジ欠点,-,,
222,1,380.9,1569.2, 4.8,スジ欠点,-,,
223,1,391.6,1569.9, 3.5,スジ欠点,-,,
224,1,668.8,1576.6, 4.0,スジ欠点,-,,
225,1,380.9,1599.8, 1.2,軽欠点,-,,
226,1,1236.4,1604.6, 5.7,スジ欠点,-,,
227,1,359.6,1612.1, 3.5,スジ欠点,-,,
228,1,402.2,1634.1, 0.7,軽欠点,-,,
229,1,1225.7,1646.7, 3.5,スジ欠点,-,,
230,1,1161.7,1698.4, 3.5,スジ欠点,-,,
231,1,540.9,1797.3, 3.5,スジ欠点,-,,
232,1,562.2,1807.8, 0.8,軽欠点,-,,
233,1,1215.0,1825.4, 4.8,スジ欠点,-,,
234,1,530.2,1850.0, 0.8,軽欠点,-,,
235,1,1225.7,1874.3, 3.5,スジ欠点,-,,
236,1,1215.0,1876.0, 4.0,スジ欠点,-,,
237,1,1225.7,1894.5, 3.5,スジ欠点,-,,
238,1,551.5,2083.5, 0.8,軽欠点,-,,
239,1,125.0,2103.8, 4.4,スジ欠点,-,,
240,1,540.9,2105.2, 3.5,スジ欠点,-,,
241,1,540.9,2105.6, 3.5,スジ欠点,-,,
242,1,210.3,2161.8, 3.5,スジ欠点,-,,
